	0
thr	324
leu	313
val	297
ser	280
ala	220
gly	219
ile	139
tyr	137
pro	132
phe	116
cys	102
asn	101
asp	94
hpg	79
gln	76
trp	72
orn	63
24dab	62
arg	56
glu	54
lys	53
horn	53
piz	37
dpg	31
beta-ala	30
fa	27
his	20
dhba	20
dap	16
ketoval	15
pipecolate	15
hse	14
anthranilate	14
salicylate	12
asp-gamma	11
hty	11
nd-horn	10
paba	10
23dab	9
pyruvate	9
3ohleu	7
ketophe	7
glu-gamma	6
alloile	6
measp	6
ne-lys	6
d-ala	6
apdpro	5
2meser	5
met	5
cysteate	4
hacorn	4
gra	4
ketoile	4
alaninol	4
abu	3
oh-phe	3
end	3
adda	3
ahp	3
dadh	3
benzoxazolinate	3
ketoleu	3
dpg:diohphegly	3
aad	3
qc	3
beta-tyr	2
kyn	2
phenyllactate	2
3-cyclohex-2-enylalanine	2
ohpro	2
cit	2
guanidinoacetate	2
pahba	2
hpg:hydroxyphenylglycine	2
o-methyl-tyr	2
phba	2
m-tyr	2
cap	2
3hqa	2
graminine	2
6-chl-trp	2
meohpro	2
picolinic-acid	2
har:homoarginine	2
dehydroleu	2
3-hpa	2
ketotyr	2
3-hydroxy-4-o-methyl-5-methyl-tyrosine	2
nucleocide	2
n-acetylated-trp	2
hty:homotyr	1
e	1
z-∆2,3-trp	1
betatyr	1
beta-methyl-trp	1
adh	1
4meotrp	1
aad:aminoadipic_acid	1
glu_semialdehyde	1
ameser	1
β-oh-3-oh-5-me-ome-tyr	1
5ometyr	1
hhleu	1
pyrrole	1
dopa	1
dmpap:dimethylparaaminophe	1
trans-2-nitrocyclopropyl	1
4-hydroxy-pro	1
3ncpala	1
5ohtrp	1
5-chloro-trp	1
nfk	1
l-4-nitrotryptophan	1
nitrotrp	1
beta-mepro	1
1-methylcyclopropyl	1
formylglycine	1
salicyliate	1
5r,7	1
[4-pe]-pro	1
3-carboxypiperazine	1
mepro	1
aketocl3leu	1
meazetidine	1
dpg:dihydroxyphenylgly	1
3-isocyanobutanoic_acid	1
fa6	1
2-amino-5-nitro	1
5mepro	1
azc	1
azc:azetidine2carboxylicacid	1
me-pro	1
mpro	1
maz	1
ohmepro	1
6-msa	1
3-hydroxy-5-methy-o-methyltyrosine	1
3-hydroxy-5-methyl-o-methyltyrosine	1
beta-uda	1
4prpro	1
3-nitrotyrosine	1
trans-2-crotylglycine	1
nca	1
pyrazinoic-acid	1
34dhba	1
betaphe	1
dap:diaminopropionic	1
3-ohsalicyliate	1
succinic_acid	1
aromatic:gallic_acid	1
bhy4	1
papa	1
3-methyl-aspartate	1
dhba:dihydroxybenzoic_acid	1
boharg	1
betahend	1
6-oh-tetrahydro-isoquinoline_carboxylate	1
sam	1
beta-phe	1
nac24dab	1
pip	1
meobu	1
n-oh-lvaline	1
naphthoate	1
thiazole-like	1
allothr	1
baminobutyrate	1
3-methoxy-5-methyl-naphthoic_acid	1
nacphospho	1
n-acetylated_phosphinoamino_acids	1
4clkyn	1
ahpb:aminohydroxyphenylbutyric_acid	1
oh-val	1
oh-cl2-val	1
l-meta-tyrosine	1
ureido	1
3mepro	1
beta-aminoacyl_unit	1
aketomet	1
n-oh-ala	1
5ometrp	1
o-hpa	1
ga:guanidinoalanine	1
2-hydroxy-nitro-beta-phe	1
noh-val	1
gamma-oh-valine	1
nohgly	1
pea	1
meacc	1
6-chloro-4-hydroxy-indole_acid	1
6-chloro-4-hydroxyindole-3-carboxylic_acid	1
nicotinic-acid	1
ahp:aminohydroxypiperidone	1
hleu	1
n-dimethylallyltryptophan	1
typ	1
4-acetamidopyrrole-2-carboxylate	1
guanidinoserine	1
2ohmeser	1
guanidinoacetyl	1
3-pyridyl	1
s	1
[β-me]phe	1
_[β-me]phe	1
dmsp	1
ketolle	1
chloroacetate	1
hse:homoser	1
r	1
choi	1
acc	1
aba:aminobutyric_acid	1
aba	1
hpg:ohphegly	1
beta-methyl-leu	1
1s,_2s	1
phg:phenylglycine	1
bmeorn	1
